N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,101.5,46.593279933266764,35,0
6,36,121.89,38.94111864652691,36,0
6,37,154.28,78.10430311019142,36.75,0.433446365197594
6,38,125.416,47.12813003955961,37.864,0.34306312493811936
6,39,114.77333333333333,43.706781046508276,38.666666666666664,0.4720343200308506
6,40,113,38.10258821806811,39.5,0.5010030100351265
8,64,180,77.78174593052023,64,0
8,65,161.8,33.217271061515476,65,0
8,66,152.84,22.611009575220102,66,0
8,67,146.58,55.286678627562125,66.79,0.40771615730782573
8,68,160.48,46.47676666434739,67.54666666666667,0.49848254581765294
8,69,159.184,49.3573092293226,68.688,0.5432570341267613
8,70,106,0,69,0
8,71,116.08,33.25720877469832,70.8,0.4016096644512494
8,73,134.76,23.57260575192068,72.8,0.4016096644512494
10,101,196.4,22.7787393799994,101,0
10,102,124.6,7.133519241874486,102,0
10,104,146.42666666666668,33.91447773969852,103.36,0.7428806483911199
10,105,134.08,32.81862043702566,104.9,0.3006018060210759
10,106,191.56,28.08418211628322,105.88,0.3256134155490866
10,107,243.8,10.821126290435224,107,0
10,108,177.992,41.21871307661494,107.96,0.19611613513818404
10,109,230.12,57.07544525987426,108.88,0.3262692337674912
10,110,156.08,34.682193492548095,109.88,0.32539568672798425
10,111,130.88,3.8554527787319945,111,0
12,149,249.56,83.08666287911133,149,0
12,151,200,67.76382134938206,151,0
12,152,180.81333333333333,35.086483424149016,151.62666666666667,0.6068533140236881
12,153,216.76,48.26362418379746,152.8,0.4016096644512494
12,154,151.9,26.702473450102215,154,0
12,155,164.84,36.18413417874,154.5,0.5395967555819235
12,156,170.76,35.658867602739114,156,0
12,157,192.61333333333334,49.957439996978366,156.84,0.40186729924591846
12,158,149.82,33.07754671050352,157.56,0.49738270801560014
12,159,149.52,40.25932005642448,157.98,1.2751879930703092
12,161,148.52,27.32587099813017,159.84,1.3222658948843056
12,162,158.16,28.838650140661642,161.16,0.36808133743473326
14,206,128.4,27.042380120482093,206,0
14,207,211.48,24.564135934193743,206.36,0.6273343503242702
14,208,207.28,56.496874021431914,208,0
14,209,188.06,45.64680628143418,208.92,0.27183741892777985
14,211,199.3,37.45747253881372,211,0
14,212,141.16,22.66103661894489,210.72,0.778750032361621
14,214,189.52,69.6130549491605,214,0
14,215,177.96,52.76071618819027,214.72,0.4498995871905384
14,216,182.3,50.1152286693208,215.46,0.8551755967079623
14,217,159.68,34.22723498119343,216.58,0.75223896058052
14,219,195.36,57.04002681130627,218.9,0.3006018060210759
14,221,174,35.71052975641598,218.88,0.5902432522055576
14,222,197.28,31.98709579172131,221.86,0.34768309440717154
16,269,214.2,47.70625846546964,268.68,0.4683533267840396
16,274,172.56,44.26831678489416,273.24,0.6525384675349823
16,275,174.32,25.879248131871368,274.44,0.4983844868915901
16,276,218.78,62.32261252650208,275.78,0.730571652720687
16,277,265.84,63.36000570218287,276.96,0.19674775073518588
16,278,235.76,69.52214778225759,277.76,0.6525384675349823
16,279,234.88,63.21578508466827,278.96,0.19674775073518588
16,281,163.12,10.634393380943042,280.4,0.4918693768379647
16,282,159.54,39.351780780574714,280.56,1.461143305441374
16,283,239.92,59.07138928667638,283,0
16,284,140.84,18.038221069574426,283.16,0.9280572841051598
16,285,197.18,70.40522126037878,284.34,0.8167424766059186
16,286,207.8,20.513567500873737,286,0
16,287,212.72,54.14401345992359,285.64,0.9788077013024735
16,288,194.62666666666667,74.62003095421392,286.8,1.4066305931794776
