N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,35,0,0,0.1,117,53.693575034635195,35,0
6,35,0,0,0.11,101.5,65.76093065034893,35,0
6,35,0,0,0.12,148,NA,35,NA
6,35,0,0,0.13,55,NA,35,NA
6,35,0,0,0.14,148,NA,35,NA
6,35,0,0,0.16,55,NA,35,NA
6,35,0,0,0.2,55,NA,35,NA
6,35,0,0.3,0.1,117,53.693575034635195,35,0
6,35,0,0.3,0.11,101.5,65.76093065034893,35,0
6,35,0,0.3,0.12,148,NA,35,NA
6,35,0,0.3,0.13,55,NA,35,NA
6,35,0,0.3,0.14,148,NA,35,NA
6,35,0,0.3,0.16,55,NA,35,NA
6,35,0,0.3,0.2,55,NA,35,NA
6,35,0,0.5,0.1,117,53.693575034635195,35,0
6,35,0,0.5,0.11,101.5,65.76093065034893,35,0
6,35,0,0.5,0.12,148,NA,35,NA
6,35,0,0.5,0.13,55,NA,35,NA
6,35,0,0.5,0.14,148,NA,35,NA
6,35,0,0.5,0.16,55,NA,35,NA
6,35,0,0.5,0.2,55,NA,35,NA
6,35,0,0.7,0.1,117,53.693575034635195,35,0
6,35,0,0.7,0.11,101.5,65.76093065034893,35,0
6,35,0,0.7,0.12,148,NA,35,NA
6,35,0,0.7,0.13,55,NA,35,NA
6,35,0,0.7,0.14,148,NA,35,NA
6,35,0,0.7,0.16,55,NA,35,NA
6,35,0,0.7,0.2,55,NA,35,NA
6,35,0,1,0.1,117,53.693575034635195,35,0
6,35,0,1,0.11,101.5,65.76093065034893,35,0
6,35,0,1,0.12,148,NA,35,NA
6,35,0,1,0.13,55,NA,35,NA
6,35,0,1,0.14,148,NA,35,NA
6,35,0,1,0.16,55,NA,35,NA
6,35,0,1,0.2,55,NA,35,NA
6,35,0.3,0,0.34,55,NA,35,NA
6,35,0.3,0,0.36,55,NA,35,NA
6,35,0.3,0,0.42,55,NA,35,NA
6,35,0.3,0,0.45,55,NA,35,NA
6,35,0.3,0,0.51,148,NA,35,NA
6,35,0.3,0,0.52,101.5,65.76093065034893,35,0
6,35,0.3,0,0.54,148,NA,35,NA
6,35,0.3,0,0.55,148,NA,35,NA
6,35,0.3,0,0.57,148,NA,35,NA
6,35,0.3,0.3,0.34,55,NA,35,NA
6,35,0.3,0.3,0.36,55,NA,35,NA
6,35,0.3,0.3,0.42,55,NA,35,NA
6,35,0.3,0.3,0.45,55,NA,35,NA
6,35,0.3,0.3,0.51,148,NA,35,NA
6,35,0.3,0.3,0.52,101.5,65.76093065034893,35,0
6,35,0.3,0.3,0.54,148,NA,35,NA
6,35,0.3,0.3,0.55,148,NA,35,NA
6,35,0.3,0.3,0.57,148,NA,35,NA
6,35,0.3,0.5,0.34,55,NA,35,NA
6,35,0.3,0.5,0.36,55,NA,35,NA
6,35,0.3,0.5,0.42,55,NA,35,NA
6,35,0.3,0.5,0.45,55,NA,35,NA
6,35,0.3,0.5,0.51,148,NA,35,NA
6,35,0.3,0.5,0.52,101.5,65.76093065034893,35,0
6,35,0.3,0.5,0.54,148,NA,35,NA
6,35,0.3,0.5,0.55,148,NA,35,NA
6,35,0.3,0.5,0.57,148,NA,35,NA
6,35,0.3,0.7,0.34,55,NA,35,NA
6,35,0.3,0.7,0.36,55,NA,35,NA
6,35,0.3,0.7,0.42,55,NA,35,NA
6,35,0.3,0.7,0.45,55,NA,35,NA
6,35,0.3,0.7,0.51,148,NA,35,NA
6,35,0.3,0.7,0.52,101.5,65.76093065034893,35,0
6,35,0.3,0.7,0.54,148,NA,35,NA
6,35,0.3,0.7,0.55,148,NA,35,NA
6,35,0.3,0.7,0.57,148,NA,35,NA
6,35,0.3,1,0.34,55,NA,35,NA
6,35,0.3,1,0.36,55,NA,35,NA
6,35,0.3,1,0.42,55,NA,35,NA
6,35,0.3,1,0.45,55,NA,35,NA
6,35,0.3,1,0.51,148,NA,35,NA
6,35,0.3,1,0.52,101.5,65.76093065034893,35,0
6,35,0.3,1,0.54,148,NA,35,NA
6,35,0.3,1,0.55,148,NA,35,NA
6,35,0.3,1,0.57,148,NA,35,NA
6,35,0.5,0,0.34,55,NA,35,NA
6,35,0.5,0,0.36,55,NA,35,NA
6,35,0.5,0,0.42,55,NA,35,NA
6,35,0.5,0,0.45,55,NA,35,NA
6,35,0.5,0,0.51,148,NA,35,NA
6,35,0.5,0,0.52,101.5,65.76093065034893,35,0
6,35,0.5,0,0.54,148,NA,35,NA
6,35,0.5,0,0.55,148,NA,35,NA
6,35,0.5,0,0.57,148,NA,35,NA
6,35,0.5,0.3,0.34,55,NA,35,NA
6,35,0.5,0.3,0.36,55,NA,35,NA
6,35,0.5,0.3,0.42,55,NA,35,NA
6,35,0.5,0.3,0.45,55,NA,35,NA
6,35,0.5,0.3,0.51,148,NA,35,NA
6,35,0.5,0.3,0.52,101.5,65.76093065034893,35,0
6,35,0.5,0.3,0.54,148,NA,35,NA
6,35,0.5,0.3,0.55,148,NA,35,NA
6,35,0.5,0.3,0.57,148,NA,35,NA
6,35,0.5,0.5,0.34,55,NA,35,NA
6,35,0.5,0.5,0.36,55,NA,35,NA
6,35,0.5,0.5,0.42,55,NA,35,NA
6,35,0.5,0.5,0.45,55,NA,35,NA
6,35,0.5,0.5,0.51,148,NA,35,NA
