N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,163.084,61.59445145302617,35,0
6,36,173.932,59.4162263350998,35.844,0.36321874361247225
6,37,182.532,53.50613786827786,36.884,0.32054562701430817
6,38,153.824,70.30146440463312,37.5712,0.6969273221130682
6,39,147.896,57.878143797220766,38.269333333333336,1.0990970203988155
6,40,146.996,40.07798602544072,39.56,0.7541052305846848
8,64,230.136,76.85179956757156,63.88,0.3262692337674912
8,65,243.472,76.27894225969618,64.984,0.12598002913928655
8,66,199.22933333333333,63.399385051871256,65.73066666666666,0.6617860563004675
8,67,195.032,66.81499429713253,66.688,0.5543198905705661
8,68,184.64533333333333,48.81225161072144,67.63466666666666,0.6641091764291989
8,69,185.4112,62.63794164349059,68.5472,0.7646618156464283
8,70,148.104,33.63845341847774,68.904,0.6146596225659395
8,71,175.768,42.28115114250656,70.632,0.7570741643475761
8,73,212.024,59.47138970587779,72.6,0.762000762001143
10,101,220.296,43.606196659382874,100.856,0.5032795670208012
10,102,217.048,57.76088865369469,101.992,0.08944271909999159
10,104,215.16,67.52092961318644,103.576,0.5510903145214568
10,105,212.784,57.579919525214,104.832,0.4433534131998805
10,106,199.764,48.81581957689388,105.7,0.6721660724223313
10,107,231.208,51.483993127836314,106.704,0.47559809544098974
10,108,213.2432,58.47505266876965,107.416,1.028317021854592
10,109,226.096,45.40932545975196,108.76,0.5297595315709974
10,110,199.608,67.71518238278392,109.22133333333333,1.0008410010822975
10,111,193.912,67.76822644963516,110.512,1.0208788118024081
12,149,207.768,70.90874826595912,148.16,0.9280572841051598
12,151,244.048,47.72499446594199,150.928,0.2595281077449558
12,152,233.248,68.8927310028187,151.45333333333335,0.6878108598780132
12,153,246.168,60.98965221592393,152.736,0.4776285505055833
12,154,216.144,47.667726109494666,153.608,0.6130573851033188
12,155,227.68,51.81626483262586,154.672,0.6496956346403158
12,156,235.424,50.94973234283426,155.84,0.42880178141180275
12,157,222.808,58.95303523684225,156.38133333333334,0.834531046598139
12,158,199.024,43.86451649373233,157.116,1.2315073859977732
12,159,214.06,73.97166775544599,157.876,1.435572175085432
12,161,215.952,48.25049824245509,159.984,2.1664003144803696
12,162,222.96,41.55804335795822,161.2,0.7405316311773545
14,206,270.064,65.4363448383729,205.872,0.4011274433474374
14,207,245.552,55.90912211333559,206.688,0.6275400000102808
14,208,268.768,60.46248316905072,207.768,0.4238076252567979
14,209,234.836,60.82453122214403,207.932,1.3046780211821702
14,211,238.592,54.567462538324854,210.68,0.6598040356513799
14,212,274.728,65.59570402927903,211.512,0.8855106053899436
14,214,240.92,61.47115767420076,213.272,0.513934852153524
14,215,226.896,72.70817767212714,213.884,1.132995461093926
14,216,255.356,81.17390019143565,215.44,0.7541052305846848
14,217,218.772,60.59855406707391,215.964,1.4264793631504018
14,219,234.296,60.21041071303975,218.256,1.2731644792267254
14,221,219.672,43.065736698904324,219.776,1.1560779078558063
14,222,204.132,52.28684569690284,220.14,1.382768307696949
16,269,248.696,60.75256851068242,268.432,0.5584540874073136
16,274,397.88,195.91693434027167,273.472,0.9295854088022598
16,275,225.24,59.95043651809115,273.72,0.9638631946829986
16,276,242.872,77.90056229852068,275.568,0.674682730732449
16,277,235.416,49.321555844962376,276.184,0.7337926225461973
16,278,267.144,48.925009107091974,277.688,0.7871549423244488
16,279,285.872,82.43912475470964,278.624,0.6557930436723405
16,281,271.168,67.25322105249298,280.416,1.3511285605362555
16,282,216.052,53.442921697059866,280.976,1.2766925139204042
16,283,255.92,47.12519359077204,281.904,0.8745874603528521
16,284,222.224,70.61285453659589,283.264,1.5561739682165483
16,285,222.412,40.68818464220186,283.652,1.372015197733336
16,286,259.784,59.607125575344085,285.28,0.7251251282453968
16,287,214.584,46.90075038948497,285.696,1.0566532681216947
16,288,244.008,60.09962709094449,286.816,1.0057375509497368
