N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,35,0,0,0.1,145.5,88.38834764831844,35,0
6,35,0,0,0.3,145.5,88.38834764831844,35,0
6,35,0,0,0.5,145.5,88.38834764831844,35,0
6,35,0,0,0.7,145.5,88.38834764831844,35,0
6,35,0,0,1,145.5,88.38834764831844,35,0
6,35,0,0.3,0.1,145.5,88.38834764831844,35,0
6,35,0,0.3,0.3,145.5,88.38834764831844,35,0
6,35,0,0.3,0.5,145.5,88.38834764831844,35,0
6,35,0,0.3,0.7,145.5,88.38834764831844,35,0
6,35,0,0.3,1,145.5,88.38834764831844,35,0
6,35,0,0.5,0.1,145.5,88.38834764831844,35,0
6,35,0,0.5,0.3,145.5,88.38834764831844,35,0
6,35,0,0.5,0.5,145.5,88.38834764831844,35,0
6,35,0,0.5,0.7,145.5,88.38834764831844,35,0
6,35,0,0.5,1,145.5,88.38834764831844,35,0
6,35,0,0.7,0.1,145.5,88.38834764831844,35,0
6,35,0,0.7,0.3,145.5,88.38834764831844,35,0
6,35,0,0.7,0.5,145.5,88.38834764831844,35,0
6,35,0,0.7,0.7,145.5,88.38834764831844,35,0
6,35,0,0.7,1,145.5,88.38834764831844,35,0
6,35,0,1,0.1,145.5,88.38834764831844,35,0
6,35,0,1,0.3,145.5,88.38834764831844,35,0
6,35,0,1,0.5,145.5,88.38834764831844,35,0
6,35,0,1,0.7,145.5,88.38834764831844,35,0
6,35,0,1,1,145.5,88.38834764831844,35,0
6,35,0.3,0,0.1,261.5,34.64823227814083,35,0
6,35,0.3,0,0.3,153.5,17.67766952966369,35,0
6,35,0.3,0,0.5,261.5,98.2878425849301,35,0
6,35,0.3,0,0.7,208,9.899494936611665,35,0
6,35,0.3,0,1,145.5,88.38834764831844,35,0
6,35,0.3,0.3,0.1,281,18.384776310850235,35,0
6,35,0.3,0.3,0.3,151,14.142135623730951,35,0
6,35,0.3,0.3,0.5,249.5,34.64823227814083,35,0
6,35,0.3,0.3,0.7,357.5,64.34671708797582,35,0
6,35,0.3,0.3,1,145.5,88.38834764831844,35,0
6,35,0.3,0.5,0.1,310,33.94112549695428,35,0
6,35,0.3,0.5,0.3,151,14.142135623730951,35,0
6,35,0.3,0.5,0.5,246,29.698484809834994,35,0
6,35,0.3,0.5,0.7,380,199.4041122946064,35,0
6,35,0.3,0.5,1,145.5,88.38834764831844,35,0
6,35,0.3,0.7,0.1,469,258.8010819142764,35,0
6,35,0.3,0.7,0.3,151,14.142135623730951,35,0
6,35,0.3,0.7,0.5,221,5.656854249492381,35,0
6,35,0.3,0.7,0.7,365,7.0710678118654755,35,0
6,35,0.3,0.7,1,145.5,88.38834764831844,35,0
6,35,0.3,1,0.1,288.5,60.10407640085654,35,0
6,35,0.3,1,0.3,151,14.142135623730951,35,0
6,35,0.3,1,0.5,268,32.526911934581186,35,0
6,35,0.3,1,0.7,251.5,2.1213203435596424,35,0
6,35,0.3,1,1,145.5,88.38834764831844,35,0
6,35,0.5,0,0.1,261.5,43.1335136523794,35,0
6,35,0.5,0,0.3,153.5,17.67766952966369,35,0
6,35,0.5,0,0.5,249.5,81.31727983645297,35,0
6,35,0.5,0,0.7,249,67.88225099390856,35,0
6,35,0.5,0,1,145.5,88.38834764831844,35,0
6,35,0.5,0.3,0.1,173.5,12.020815280171307,35,0
6,35,0.5,0.3,0.3,154.5,9.192388155425117,35,0
6,35,0.5,0.3,0.5,302,43.840620433565945,35,0
6,35,0.5,0.3,0.7,284.5,84.14570696119915,35,0
6,35,0.5,0.3,1,145.5,88.38834764831844,35,0
6,35,0.5,0.5,0.1,192.5,14.849242404917497,35,0
6,35,0.5,0.5,0.3,154.5,9.192388155425117,35,0
6,35,0.5,0.5,0.5,287.5,101.1162697096763,35,0
6,35,0.5,0.5,0.7,263.5,54.44722215136416,35,0
6,35,0.5,0.5,1,145.5,88.38834764831844,35,0
6,35,0.5,0.7,0.1,182.5,0.7071067811865476,35,0
6,35,0.5,0.7,0.3,154.5,9.192388155425117,35,0
6,35,0.5,0.7,0.5,289,103.23759005323593,35,0
6,35,0.5,0.7,0.7,231.5,16.263455967290593,35,0
6,35,0.5,0.7,1,145.5,88.38834764831844,35,0
6,35,0.5,1,0.1,156,14.142135623730951,35,0
6,35,0.5,1,0.3,164.5,14.849242404917497,35,0
6,35,0.5,1,0.5,244.5,98.2878425849301,35,0
6,35,0.5,1,0.7,236.5,44.54772721475249,35,0
6,35,0.5,1,1,145.5,88.38834764831844,35,0
6,35,0.7,0,0.1,261.5,43.1335136523794,35,0
6,35,0.7,0,0.3,153.5,17.67766952966369,35,0
6,35,0.7,0,0.5,249.5,81.31727983645297,35,0
6,35,0.7,0,0.7,249,67.88225099390856,35,0
6,35,0.7,0,1,145.5,88.38834764831844,35,0
6,35,0.7,0.3,0.1,331.5,211.4249275747777,35,0
6,35,0.7,0.3,0.3,155,9.899494936611665,35,0
6,35,0.7,0.3,0.5,280,50.91168824543142,35,0
6,35,0.7,0.3,0.7,235.5,24.748737341529164,35,0
6,35,0.7,0.3,1,145.5,88.38834764831844,35,0
6,35,0.7,0.5,0.1,173.5,10.606601717798213,35,0
6,35,0.7,0.5,0.3,155.5,12.020815280171307,35,0
6,35,0.7,0.5,0.5,286,42.42640687119285,35,0
6,35,0.7,0.5,0.7,236.5,58.68986283848344,35,0
6,35,0.7,0.5,1,145.5,88.38834764831844,35,0
6,35,0.7,0.7,0.1,173.5,10.606601717798213,35,0
6,35,0.7,0.7,0.3,158,8.48528137423857,35,0
6,35,0.7,0.7,0.5,252.5,57.27564927611035,35,0
6,35,0.7,0.7,0.7,231,2.8284271247461903,35,0
6,35,0.7,0.7,1,145.5,88.38834764831844,35,0
6,35,0.7,1,0.1,183.5,24.748737341529164,35,0
6,35,0.7,1,0.3,211.5,74.24621202458749,35,0
6,35,0.7,1,0.5,227,69.29646455628166,35,0
6,35,0.7,1,0.7,204.5,21.920310216782973,35,0
6,35,0.7,1,1,145.5,88.38834764831844,35,0
6,35,1,0,0.1,220,15.556349186104045,35,0
6,35,1,0,0.3,172,32.526911934581186,35,0
6,35,1,0,0.5,170.5,24.748737341529164,35,0
6,35,1,0,0.7,174,41.012193308819754,35,0
6,35,1,0,1,145.5,88.38834764831844,35,0
6,35,1,0.3,0.1,211,156.97770542341354,35,0
6,35,1,0.3,0.3,197,46.66904755831214,35,0
6,35,1,0.3,0.5,265,115.96551211459379,35,0
6,35,1,0.3,0.7,217,89.09545442950498,35,0
6,35,1,0.3,1,145.5,88.38834764831844,35,0
6,35,1,0.5,0.1,211,156.97770542341354,35,0
6,35,1,0.5,0.3,296,101.82337649086284,35,0
6,35,1,0.5,0.5,252.5,132.22896808188437,35,0
6,35,1,0.5,0.7,195.5,58.68986283848344,35,0
6,35,1,0.5,1,145.5,88.38834764831844,35,0
6,35,1,0.7,0.1,209.5,154.8563850798539,35,0
6,35,1,0.7,0.3,194,42.42640687119285,35,0
6,35,1,0.7,0.5,269.5,88.38834764831844,35,0
6,35,1,0.7,0.7,195.5,58.68986283848344,35,0
6,35,1,0.7,1,145.5,88.38834764831844,35,0
6,35,1,1,0.1,200.5,142.12846301849606,35,0
6,35,1,1,0.3,236.5,109.60155108391487,35,0
6,35,1,1,0.5,224,84.8528137423857,35,0
6,35,1,1,0.7,171.5,16.263455967290593,35,0
6,35,1,1,1,145.5,88.38834764831844,35,0
6,36,0,0,0.1,170,49.35585071701227,36,0
6,36,0,0,0.3,170,49.35585071701227,36,0
6,36,0,0,0.5,170,49.35585071701227,36,0
6,36,0,0,0.7,170,49.35585071701227,36,0
6,36,0,0,1,170,49.35585071701227,36,0
6,36,0,0.3,0.1,170,49.35585071701227,36,0
6,36,0,0.3,0.3,170,49.35585071701227,36,0
6,36,0,0.3,0.5,170,49.35585071701227,36,0
6,36,0,0.3,0.7,170,49.35585071701227,36,0
6,36,0,0.3,1,170,49.35585071701227,36,0
6,36,0,0.5,0.1,170,49.35585071701227,36,0
6,36,0,0.5,0.3,170,49.35585071701227,36,0
6,36,0,0.5,0.5,170,49.35585071701227,36,0
6,36,0,0.5,0.7,170,49.35585071701227,36,0
6,36,0,0.5,1,170,49.35585071701227,36,0
6,36,0,0.7,0.1,170,49.35585071701227,36,0
6,36,0,0.7,0.3,170,49.35585071701227,36,0
6,36,0,0.7,0.5,170,49.35585071701227,36,0
6,36,0,0.7,0.7,170,49.35585071701227,36,0
6,36,0,0.7,1,170,49.35585071701227,36,0
6,36,0,1,0.1,170,49.35585071701227,36,0
6,36,0,1,0.3,170,49.35585071701227,36,0
6,36,0,1,0.5,170,49.35585071701227,36,0
6,36,0,1,0.7,170,49.35585071701227,36,0
6,36,0,1,1,170,49.35585071701227,36,0
6,36,0.3,0,0.1,200,148.99888142756868,35.5,0.5773502691896257
6,36,0.3,0,0.3,144,44.63929509598765,35.75,0.5
6,36,0.3,0,0.5,191.25,37.007882043334135,35.75,0.5
6,36,0.3,0,0.7,146.5,17.01959654829299,35.75,0.5
6,36,0.3,0,1,170,49.35585071701227,36,0
6,36,0.3,0.3,0.1,200.75,129.805944907517,35.5,0.5773502691896257
6,36,0.3,0.3,0.3,260.25,150.70805110101674,35.75,0.5
6,36,0.3,0.3,0.5,276.25,92.96728815377303,35.75,0.5
6,36,0.3,0.3,0.7,140.75,14.244882121894399,35.75,0.5
6,36,0.3,0.3,1,170,49.35585071701227,36,0
6,36,0.3,0.5,0.1,180.75,94.00132977782815,35.5,0.5773502691896257
6,36,0.3,0.5,0.3,283.75,176.1578364232864,35.75,0.5
6,36,0.3,0.5,0.5,263,69.0941386804988,35.75,0.5
6,36,0.3,0.5,0.7,140.75,14.244882121894399,35.75,0.5
6,36,0.3,0.5,1,170,49.35585071701227,36,0
6,36,0.3,0.7,0.1,180.75,94.00132977782815,35.5,0.5773502691896257
6,36,0.3,0.7,0.3,225.75,129.4330586313507,35.75,0.5
6,36,0.3,0.7,0.5,251.5,69.49580323060283,35.75,0.5
6,36,0.3,0.7,0.7,140.75,14.244882121894399,35.75,0.5
6,36,0.3,0.7,1,170,49.35585071701227,36,0
6,36,0.3,1,0.1,181.25,94.85559199822293,35.5,0.5773502691896257
6,36,0.3,1,0.3,197.5,118.78411790583229,35.75,0.5
6,36,0.3,1,0.5,244,60.06662967072483,35.75,0.5
6,36,0.3,1,0.7,150,29.899832775452108,35.75,0.5
6,36,0.3,1,1,170,49.35585071701227,36,0
6,36,0.5,0,0.1,190,127.61661333854617,35.5,0.5773502691896257
6,36,0.5,0,0.3,208,114.03215920666123,36,0
6,36,0.5,0,0.5,187,28.083209693100727,35.75,0.5
6,36,0.5,0,0.7,144.75,17.173137938847013,35.75,0.5
6,36,0.5,0,1,170,49.35585071701227,36,0
6,36,0.5,0.3,0.1,193,113.39312148450628,35.5,0.5773502691896257
6,36,0.5,0.3,0.3,193,79.1580697086532,35.75,0.5
6,36,0.5,0.3,0.5,194.75,21.823152842795196,35.75,0.5
6,36,0.5,0.3,0.7,150,29.676028485406647,35.5,0.5773502691896257
6,36,0.5,0.3,1,170,49.35585071701227,36,0
6,36,0.5,0.5,0.1,197.75,121.95730127111429,35.5,0.5773502691896257
6,36,0.5,0.5,0.3,219.5,119.41105476462387,36,0
6,36,0.5,0.5,0.5,223.75,65.31653695657785,35.75,0.5
6,36,0.5,0.5,0.7,150,29.676028485406647,35.5,0.5773502691896257
6,36,0.5,0.5,1,170,49.35585071701227,36,0
6,36,0.5,0.7,0.1,183,95.94095406377126,35.5,0.5773502691896257
6,36,0.5,0.7,0.3,261,149.77983842960975,35.75,0.5
6,36,0.5,0.7,0.5,369.75,215.33288183647198,35.75,0.5
6,36,0.5,0.7,0.7,146.5,25.92939130279254,35.5,0.5773502691896257
6,36,0.5,0.7,1,170,49.35585071701227,36,0
6,36,0.5,1,0.1,180,97.64220398987315,35.5,0.5773502691896257
6,36,0.5,1,0.3,155.75,51.090605790105876,35.75,0.5
6,36,0.5,1,0.5,226,50.464508980734834,35.75,0.5
6,36,0.5,1,0.7,173,78.75277772878871,35.5,0.5773502691896257
6,36,0.5,1,1,170,49.35585071701227,36,0
6,36,0.7,0,0.1,190,127.61661333854617,35.5,0.5773502691896257
6,36,0.7,0,0.3,208,114.03215920666123,36,0
6,36,0.7,0,0.5,187,28.083209693100727,35.75,0.5
6,36,0.7,0,0.7,144.75,17.173137938847013,35.75,0.5
6,36,0.7,0,1,170,49.35585071701227,36,0
6,36,0.7,0.3,0.1,210.75,154.84266207993196,35.5,0.5773502691896257
6,36,0.7,0.3,0.3,210.75,104.5988368322835,35.75,0.5
6,36,0.7,0.3,0.5,300.75,116.55435069814712,35.75,0.5
6,36,0.7,0.3,0.7,150,32.873494895837695,35.5,0.5773502691896257
6,36,0.7,0.3,1,170,49.35585071701227,36,0
6,36,0.7,0.5,0.1,189.5,103.76094319797471,35.5,0.5773502691896257
6,36,0.7,0.5,0.3,205.75,139.52150371896082,35.75,0.5
6,36,0.7,0.5,0.5,305.25,32.84686692314302,36,0
6,36,0.7,0.5,0.7,173,78.75277772878871,35.5,0.5773502691896257
6,36,0.7,0.5,1,170,49.35585071701227,36,0
6,36,0.7,0.7,0.1,183.5,93.32916657365656,35.5,0.5773502691896257
6,36,0.7,0.7,0.3,210.25,97.95024247034817,35.75,0.5
6,36,0.7,0.7,0.5,205.75,65.02499519415592,35.5,0.5773502691896257
6,36,0.7,0.7,0.7,143,31.31559781748812,35.5,0.5773502691896257
6,36,0.7,0.7,1,170,49.35585071701227,36,0
6,36,0.7,1,0.1,217.75,118.03777643901408,35.5,0.5773502691896257
6,36,0.7,1,0.3,167.25,68.95106960736722,35.75,0.5
6,36,0.7,1,0.5,246.5,126.46079761464948,35.5,0.5773502691896257
6,36,0.7,1,0.7,141.5,28.52484297356721,35.5,0.5773502691896257
6,36,0.7,1,1,170,49.35585071701227,36,0
6,36,1,0,0.1,177.5,91.1756546453054,35.75,0.5
6,36,1,0,0.3,180,63.86443976632588,36,0
6,36,1,0,0.5,267.75,35.31170721823949,36,0
6,36,1,0,0.7,239,11.74734012447073,36,0
6,36,1,0,1,170,49.35585071701227,36,0
6,36,1,0.3,0.1,206.75,112.02194725439594,35.75,0.5
6,36,1,0.3,0.3,194.75,70.81607632922533,36,0
6,36,1,0.3,0.5,275.25,31.62672920173694,36,0
6,36,1,0.3,0.7,217,62.069853122644545,36,0
6,36,1,0.3,1,170,49.35585071701227,36,0
6,36,1,0.5,0.1,201.75,105.47788077759874,35.75,0.5
6,36,1,0.5,0.3,214.5,95.75489543621255,36,0
6,36,1,0.5,0.5,241.5,60.96173663318109,35.75,0.5
6,36,1,0.5,0.7,239.25,57.5,36,0
6,36,1,0.5,1,170,49.35585071701227,36,0
6,36,1,0.7,0.1,201.75,105.47788077759874,35.75,0.5
6,36,1,0.7,0.3,207.5,85.67185457702352,36,0
6,36,1,0.7,0.5,220.75,47.020385649914296,35.75,0.5
6,36,1,0.7,0.7,231.75,62.082606259724635,36,0
6,36,1,0.7,1,170,49.35585071701227,36,0
6,36,1,1,0.1,166.5,95.07014953881861,35.75,0.5
6,36,1,1,0.3,235,63.20864919718925,36,0
6,36,1,1,0.5,249.25,21.391197566600457,36,0
6,36,1,1,0.7,210.25,59.86860613042532,36,0
6,36,1,1,1,170,49.35585071701227,36,0
6,37,0,0,0.1,240.75,85.64023587076346,37,0
6,37,0,0,0.3,240.75,85.64023587076346,37,0
6,37,0,0,0.5,240.75,85.64023587076346,37,0
6,37,0,0,0.7,240.75,85.64023587076346,37,0
6,37,0,0,1,240.75,85.64023587076346,37,0
6,37,0,0.3,0.1,240.75,85.64023587076346,37,0
6,37,0,0.3,0.3,240.75,85.64023587076346,37,0
6,37,0,0.3,0.5,240.75,85.64023587076346,37,0
6,37,0,0.3,0.7,240.75,85.64023587076346,37,0
6,37,0,0.3,1,240.75,85.64023587076346,37,0
6,37,0,0.5,0.1,240.75,85.64023587076346,37,0
6,37,0,0.5,0.3,240.75,85.64023587076346,37,0
6,37,0,0.5,0.5,240.75,85.64023587076346,37,0
6,37,0,0.5,0.7,240.75,85.64023587076346,37,0
6,37,0,0.5,1,240.75,85.64023587076346,37,0
6,37,0,0.7,0.1,240.75,85.64023587076346,37,0
6,37,0,0.7,0.3,240.75,85.64023587076346,37,0
6,37,0,0.7,0.5,240.75,85.64023587076346,37,0
6,37,0,0.7,0.7,240.75,85.64023587076346,37,0
6,37,0,0.7,1,240.75,85.64023587076346,37,0
6,37,0,1,0.1,240.75,85.64023587076346,37,0
6,37,0,1,0.3,240.75,85.64023587076346,37,0
6,37,0,1,0.5,240.75,85.64023587076346,37,0
6,37,0,1,0.7,240.75,85.64023587076346,37,0
6,37,0,1,1,240.75,85.64023587076346,37,0
6,37,0.3,0,0.1,178.75,66.74016781519208,36.25,0.5
6,37,0.3,0,0.3,172.75,68.66039615382364,36.75,0.5
6,37,0.3,0,0.5,180.25,71.3413157527483,37,0
6,37,0.3,0,0.7,190.75,47.52104796824245,36.75,0.5
6,37,0.3,0,1,240.75,85.64023587076346,37,0
6,37,0.3,0.3,0.1,248.75,120.65757332219142,36.5,0.5773502691896257
6,37,0.3,0.3,0.3,165.25,70.66057363669408,36.5,0.5773502691896257
6,37,0.3,0.3,0.5,178.25,95.72312503604688,37,0
6,37,0.3,0.3,0.7,200.25,68.12427369643413,36.75,0.5
6,37,0.3,0.3,1,240.75,85.64023587076346,37,0
6,37,0.3,0.5,0.1,248.75,120.65757332219142,36.5,0.5773502691896257
6,37,0.3,0.5,0.3,165.25,70.66057363669408,36.5,0.5773502691896257
6,37,0.3,0.5,0.5,185.75,92.22210508694033,37,0
6,37,0.3,0.5,0.7,200.25,68.12427369643413,36.75,0.5
6,37,0.3,0.5,1,240.75,85.64023587076346,37,0
6,37,0.3,0.7,0.1,258.25,138.40610535666409,36.5,0.5773502691896257
6,37,0.3,0.7,0.3,167.25,73.17274082607538,36.5,0.5773502691896257
6,37,0.3,0.7,0.5,223.25,132.479872685124,37,0
6,37,0.3,0.7,0.7,203.5,71.97453253292676,36.75,0.5
6,37,0.3,0.7,1,240.75,85.64023587076346,37,0
6,37,0.3,1,0.1,281,118.16090724093142,36.75,0.5
6,37,0.3,1,0.3,186.5,95.83840566286565,36.5,0.5773502691896257
6,37,0.3,1,0.5,189.25,87.70927354998824,37,0
