N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,149.68,100.19207256875411,35,0
6,36,142.73,62.324680758615415,36,0
6,37,126.12,43.92977635386961,36.75,0.433446365197594
6,38,125.688,52.55299766999561,38,0
6,39,112.88,43.04082131494752,38.666666666666664,0.4720343200308506
6,40,149.34,80.21772831327856,39.5,0.5010030100351265
8,64,263.52,55.4709456062506,64,0
8,65,115.72,13.024542589949919,65,0
8,66,181.82666666666665,51.55791441015065,66,0
8,67,165.78,72.56157360426974,66.84,0.366973212479269
8,68,150.26666666666668,36.66889476296299,67.41333333333333,0.49308949989019313
8,69,163.088,38.055714891425126,68.76,0.5126602313623643
8,70,106.6,1.2048289933537484,69,0
8,71,107.24,6.520934031652313,70.8,0.4016096644512494
8,73,127.28,21.36382229905984,72.04,0.19674775073518588
10,101,201.08,52.243937756050364,101,0
10,102,137.6,23.074214067627736,102,0
10,104,150.13333333333333,21.40351646188183,103.13333333333334,0.9440686400617012
10,105,154.52,43.657686314063746,104.76,0.42793986741186185
10,106,206.36,56.42949184779891,105.98,0.1402808428098354
10,107,229.4,24.25502940861757,106.64,0.4819315973414993
10,108,154.808,32.748237376720766,108,0
10,109,179.12,53.05073651855637,109,0
10,110,170.46666666666667,43.20865101205591,109.6,0.6937459350943204
10,111,178.36,15.507230363555804,111,0
12,149,156.84,26.495099973026054,149,0
12,151,157.92,26.30454394696978,151,0
12,152,162.58666666666667,40.47515027348656,151.01333333333332,0.8092601317155774
12,153,164.04,25.115025704327525,152.6,0.4918693768379647
12,154,182.28,52.4848572539152,153.76,0.42793986741186185
12,155,180.88,49.759921615661604,154.52,0.50060204717775
12,156,196.12,36.96262279480405,155.52,0.501610310127101
12,157,190.84,91.22063515496298,156.2,0.9673824874398687
12,158,181.32,27.868336453883057,157.88,0.3256134155490866
12,159,144.16,39.97004902770459,157.78,1.3486569252437894
12,161,183.76,75.0485219385518,160.16,1.194071376263958
12,162,190.32,53.69546746054504,160.92,1.0595190631419948
14,206,138.84,15.122297145861866,206,0
14,207,212.96,33.49227161696435,206.6,0.9837387536759294
14,208,183.08,49.5877521298387,208,0
14,209,186.19678714859438,45.41650249978946,208.31726907630522,0.8843070527799272
14,211,274.92,111.4468266965143,210.98,0.1402808428098354
14,212,136.08,39.53348927420331,211.32,0.4683533267840396
14,214,161.32,28.44309542611976,214,0
14,215,219.52,54.030052622086,214.92,0.27183741892777985
14,216,173.26,46.853960070597964,215.5,0.6415969033165462
14,217,144.7,34.84806379414505,216.66,0.4746590405957492
14,219,211.14,62.48470013534526,218.82,0.5557295577576038
14,221,194.32,29.074043406447615,220.8,0.4016096644512494
14,222,205.34,35.980589367671286,221.46,0.8313631328333836
16,269,224.44,38.156173136035235,269,0
16,274,192.5483870967742,54.42371476741284,273.4758064516129,0.5768390128860101
16,275,150.08,67.67743703680694,273.68,0.6169644732805306
16,276,264.94,69.34733311701154,275.82,0.5183384018140859
16,277,205.44,74.73236117273167,277,0
16,278,136.72,29.971115126659598,277.4,0.4918693768379647
16,279,196.04,52.777286170130715,278.48,0.501610310127101
16,281,164.56,47.00470120619714,280.68,0.4683533267840396
16,282,158.82,40.38603381006398,280.84,1.009194676750888
16,283,242.4,82.19861862115329,283,0
16,284,225.52,39.909292312733704,283.84,0.36808133743473326
16,285,160.08,39.05964957471583,284.14,0.7764091994431285
16,286,208.08,46.86194549401327,285.64,0.5593775342346631
16,287,202.96,42.67986606986877,285.36,1.200806180809779
16,288,167.77333333333334,37.394977118932566,286.74666666666667,1.6921755554660793
