N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,35,0,0,0.1,150.33333333333334,82.56108849411648,35,0
6,35,0,0,0.11,126.5,101.1162697096763,35,0
6,35,0,0,0.12,198,NA,35,NA
6,35,0,0,0.13,126.5,101.1162697096763,35,0
6,35,0,0,0.16,55,NA,35,NA
6,35,0,0,0.2,55,NA,35,NA
6,35,0,0.3,0.1,150.33333333333334,82.56108849411648,35,0
6,35,0,0.3,0.11,126.5,101.1162697096763,35,0
6,35,0,0.3,0.12,198,NA,35,NA
6,35,0,0.3,0.13,126.5,101.1162697096763,35,0
6,35,0,0.3,0.16,55,NA,35,NA
6,35,0,0.3,0.2,55,NA,35,NA
6,35,0,0.5,0.1,150.33333333333334,82.56108849411648,35,0
6,35,0,0.5,0.11,126.5,101.1162697096763,35,0
6,35,0,0.5,0.12,198,NA,35,NA
6,35,0,0.5,0.13,126.5,101.1162697096763,35,0
6,35,0,0.5,0.16,55,NA,35,NA
6,35,0,0.5,0.2,55,NA,35,NA
6,35,0,0.7,0.1,150.33333333333334,82.56108849411648,35,0
6,35,0,0.7,0.11,126.5,101.1162697096763,35,0
6,35,0,0.7,0.12,198,NA,35,NA
6,35,0,0.7,0.13,126.5,101.1162697096763,35,0
6,35,0,0.7,0.16,55,NA,35,NA
6,35,0,0.7,0.2,55,NA,35,NA
6,35,0,1,0.1,150.33333333333334,82.56108849411648,35,0
6,35,0,1,0.11,126.5,101.1162697096763,35,0
6,35,0,1,0.12,198,NA,35,NA
6,35,0,1,0.13,126.5,101.1162697096763,35,0
6,35,0,1,0.16,55,NA,35,NA
6,35,0,1,0.2,55,NA,35,NA
6,35,0.3,0,0.34,55,NA,35,NA
6,35,0.3,0,0.36,55,NA,35,NA
6,35,0.3,0,0.42,55,NA,35,NA
6,35,0.3,0,0.45,55,NA,35,NA
6,35,0.3,0,0.52,55,NA,35,NA
6,35,0.3,0,0.57,209,0,35,0
6,35,0.3,0,0.58,209,NA,35,NA
6,35,0.3,0,0.59,209,NA,35,NA
6,35,0.3,0,0.61,209,NA,35,NA
6,35,0.3,0.3,0.34,55,NA,35,NA
6,35,0.3,0.3,0.36,55,NA,35,NA
6,35,0.3,0.3,0.42,55,NA,35,NA
6,35,0.3,0.3,0.45,55,NA,35,NA
6,35,0.3,0.3,0.52,55,NA,35,NA
6,35,0.3,0.3,0.62,291,0,35,0
6,35,0.3,0.3,0.63,291,NA,35,NA
6,35,0.3,0.3,0.64,291,NA,35,NA
6,35,0.3,0.3,0.65,291,NA,35,NA
6,35,0.3,0.5,0.34,55,NA,35,NA
6,35,0.3,0.5,0.36,55,NA,35,NA
6,35,0.3,0.5,0.42,55,NA,35,NA
6,35,0.3,0.5,0.45,55,NA,35,NA
6,35,0.3,0.5,0.52,55,NA,35,NA
6,35,0.3,0.5,0.62,291,0,35,0
6,35,0.3,0.5,0.63,291,NA,35,NA
6,35,0.3,0.5,0.64,291,NA,35,NA
6,35,0.3,0.5,0.65,291,NA,35,NA
6,35,0.3,0.7,0.34,55,NA,35,NA
6,35,0.3,0.7,0.36,55,NA,35,NA
6,35,0.3,0.7,0.42,55,NA,35,NA
6,35,0.3,0.7,0.45,55,NA,35,NA
6,35,0.3,0.7,0.52,55,NA,35,NA
6,35,0.3,0.7,0.62,291,0,35,0
6,35,0.3,0.7,0.63,291,NA,35,NA
6,35,0.3,0.7,0.64,291,NA,35,NA
6,35,0.3,0.7,0.65,291,NA,35,NA
6,35,0.3,1,0.34,55,NA,35,NA
6,35,0.3,1,0.36,55,NA,35,NA
6,35,0.3,1,0.42,55,NA,35,NA
6,35,0.3,1,0.45,55,NA,35,NA
6,35,0.3,1,0.52,55,NA,35,NA
6,35,0.3,1,0.62,291,0,35,0
6,35,0.3,1,0.63,291,NA,35,NA
6,35,0.3,1,0.64,291,NA,35,NA
6,35,0.3,1,0.65,291,NA,35,NA
6,35,0.5,0,0.34,55,NA,35,NA
6,35,0.5,0,0.36,55,NA,35,NA
6,35,0.5,0,0.42,55,NA,35,NA
6,35,0.5,0,0.45,55,NA,35,NA
6,35,0.5,0,0.52,55,NA,35,NA
6,35,0.5,0,0.57,209,0,35,0
6,35,0.5,0,0.58,209,NA,35,NA
6,35,0.5,0,0.59,209,NA,35,NA
6,35,0.5,0,0.61,209,NA,35,NA
6,35,0.5,0.3,0.34,55,NA,35,NA
6,35,0.5,0.3,0.36,55,NA,35,NA
