N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,239.704,121.1595266895283,35,0
6,36,197.16,89.23398347947507,35.842,0.36510629303042813
6,37,251.54,117.80436382525286,36.798,0.42136813145325647
6,38,211.0144,85.46502574527797,37.8144,0.4357251544912346
6,39,223.272,96.54737907585638,38.61066666666667,0.6357389345241293
6,40,219.176,85.26246404544266,39.488,0.6897528804902364
8,64,254.576,81.50739764566,63.888,0.31663553893416485
8,65,306.856,83.71213192995424,64.984,0.12598002913928655
8,66,223.32266666666666,97.8661636224425,65.728,0.4515451783912018
8,67,239.218,87.10203214625946,66.556,0.7041702290091834
8,68,244.18133333333333,86.96166205096742,67.58666666666667,0.6760480738952437
8,69,229.7568,95.43353366986862,68.1568,1.1798478824157907
8,70,200.176,69.8206300966754,69.32,0.501610310127101
8,71,241.6,79.59686733988079,70.28,1.0128210363202885
8,73,237.536,83.57482102689434,72.224,0.6204056945309671
10,101,310.152,82.45439169430225,101,0
10,102,323.56,78.16879998005969,101.928,0.2889357557792769
10,104,304.87466666666666,103.85138380398966,103.75733333333334,0.5245760532569361
10,105,254.736,99.47207184081982,104.124,1.1567090833975748
10,106,261.384,92.24463580795019,105.604,0.6330775217889019
10,107,268.6,157.601375464769,106.376,0.5486640666787976
10,108,266.3248,92.12916888246826,107.1248,0.9322099466404468
10,109,260.376,98.27419377074698,108.608,0.7393981859724534
10,110,229.17333333333335,84.16716453851087,108.864,1.247525893765325
10,111,308.272,73.11296782730221,110.512,0.96399705527592
12,149,299.328,87.50675328777626,148.744,0.6077987782471348
12,151,277.432,78.42906554703202,150.776,0.50583689835947665
12,152,310.90933333333334,84.91588976814566,151.58933333333334,0.6990393204101618
12,153,281.432,71.28682817300643,152.648,0.7212891684450342
12,154,326.912,86.94207239195089,153.632,0.8784433109782381
12,155,287.452,96.63008428411423,154.224,0.9430702657301935
12,156,258.344,93.40840813158856,154.52,1.347638316559033
12,157,299.0106666666667,100.53198013718337,156.14666666666668,1.0145114644923698
12,158,272.44,98.249775948322565,156.976,0.9773663488782897
12,159,277.82,71.17089845680322,157.544,1.4506832623666834
12,161,301.864,71.61054436684677,160.32,1.1259404671135465
12,162,315.568,95.3564903824827,161.2,1.3259202525525553
14,206,374.888,72.56890118607859,205.728,0.5293940540997123
14,207,339.128,92.4135145821181,206.416,0.5415628519208506
14,208,383.856,77.19170772780897,207.856,0.39562119386132244
14,209,313.272,77.00627168950638,208.428,0.7476979395687414
14,211,384.592,96.01226461147186,210.572,0.8624332812795634
14,212,309.144,75.58915948903034,211.6,0.842423539174232
14,214,305.096,92.54374937502314,213.24,1.3283509058348468
14,215,323.38,106.26055156678375,213.76,1.3674353798524774
14,216,292.908,93.56484949082622,215,1.0099902580149676
14,217,292.864,88.9354121491352,215.508,1.502987653824941
14,219,313.54,81.14200205807082,217.696,1.197212290730556
14,221,294.352,69.34779760207287,219.56,1.3464409477605959
14,222,284.548,94.92901435845772,220.128,2.20796659074893
16,269,310.688,96.40024226980667,268.24,0.5736133349779415
16,274,332.68,102.34662797603308,273.04,1.1100711979490905
16,275,293.064,85.78421390231836,274.296,1.211663745540843
16,276,368.32530120481925,87.08321591652754,275.23694779116465,0.7699499363733404
16,277,333.672,95.03180927559754,276.536,0.8570768023702954
16,278,365.368,75.69724672199328,277.368,0.6542170893518451
16,279,368.696,87.99122243614104,278.176,0.8619557656489595
16,281,329.8,80.22438290758755,280.128,0.8421937559615632
16,282,357.096,105.12512521660666,281.332,1.11117724033466
16,283,351.248,93.11280498198357,282.392,0.9910567836340645
16,284,317.136,87.12341487427383,283.04,1.1598108855854823
16,285,339.128,85.99472067479343,283.664,1.3852000276010188
16,286,395.61290322580646,76.65249529796922,284.9758064516129,1.0929464143650802
16,287,401.032,135.74251812091322,285.704,2.1516085505590254
16,288,297.60266666666666,88.95200588608806,286.992,1.3213346032288111
