N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,102.82,41.559310692321205,35,0
6,36,121.85,33.014654850077406,35.95,0.21816321958744908
6,37,118.79,38.53980452812562,36.84,0.366973212479269
6,38,108.376,49.460983069019626,37.76,0.42742520713255516
6,39,141.82666666666665,41.42688079934239,38.693333333333335,0.4617258178159303
6,40,100.82,24.652353928516998,39.56,0.49738270801560014
8,64,118.2,31.92228466235642,64,0
8,65,116.64,30.96678761970429,65,0
8,66,135.81333333333333,49.08458630966274,65.76,0.4276537156798236
8,67,151.35,45.959024836563444,66.67,0.6495720805080457
8,68,114.49333333333334,53.88325996169703,67.53333333333333,0.5256351730200943
8,69,151.1424,57.10677031127408,68.8144,0.3890949393077116
8,70,146.04,47.51950363594354,69.64,0.6886171275731506
8,71,155.48,36.51901846541634,71,0
8,73,137.12,26.541689665930853,72.48,0.7577555993769342
10,101,148.72,27.874314688523533,100.8,0.4016096644512494
10,102,124.96,25.903792224554753,101.76,0.42880178141180275
10,104,165.94666666666666,40.21163709146592,103.82666666666667,0.37904091370226717
10,105,152.84,56.70906516853506,104.7,0.4591768433773375
10,106,156.96,35.64098087977222,105.96,0.19635227746952638
10,107,196.12,72.41252787707654,106.84,0.36808133743473326
10,108,167.384,41.76586601643218,107.944,0.2626296993379823
10,109,175.36,33.49997592680887,108.76,0.6525384675349823
10,110,133.09333333333333,47.75527334135266,108.68,1.644631519284669
10,111,171.68,50.019931511219575,111,0
12,149,160.24,50.800273049812276,148.2,0.8980265101338745
12,151,169.44,38.17835901101819,150.4,0.8032193289024988
12,152,190.728,52.48122292171067,151.888,0.36305300801813506
12,153,159.12,13.866645988404764,153,0
12,154,159.98,51.047851399741795,153.86,0.40130309830205313
12,155,188.24,46.63132339195555,154.6,0.6646556012500703
12,156,173.4,50.24937810560445,155.16,0.9280572841051598
12,157,173.35466666666667,38.946275533054674,156.62933333333334,0.5157345971408714
12,158,161.84,36.636913814010875,157.46,0.7283694724200168
12,159,174.18,34.78372074571182,158.48,0.8790283061723376
12,161,158.68,26.708884591630408,160.36,0.6273343503242702
12,162,154.36,42.682133453343596,161.2,0.8032193289024988
14,206,200.24,34.54109287174037,205.92,0.27238492687205873
14,207,185.44,19.777145493497482,206.72,0.4508057302781464
14,208,211.32,65.60433699274816,207.96,0.19674775073518588
14,209,180.7,42.37983247729057,208.58,0.7194933514153717
14,211,162.3,40.716598156794085,210.54,0.755435457814693
14,212,156.96,31.643783469396713,211.24,0.7662224051759048
14,214,180.8,32.03702495148286,213.92,0.27238492687205873
14,215,177.728,45.690222166306285,214.592,0.6221610220428451
14,216,178.24,46.842708690144285,215.88,0.38234112904031564
14,217,162.56,40.1243849181547,216.34,0.8167424766059186
14,219,174.68,39.46806955066621,218.54,0.6403437831685183
14,221,172.36,34.799981460877525,220.32,1.0128210363202885
14,222,171.132,36.247290107822444,221.192,1.1733041252297396
16,269,184.48,43.534487626515435,268.72,0.5327954276661311
16,274,179.52,42.477812044984525,273.88,0.3262692337674912
16,275,196.96,39.43704660799653,274.84,0.36808133743473326
16,276,178.4,43.56871505710156,275.62,0.7732994037702899
16,277,141.08,43.830612369041354,275.08,1.329564566120755
16,278,134,30.658104227735766,276.48,0.9469816226033043
16,279,156.4,38.44036017420467,277.64,1.1316559376817332
16,281,193.72,52.01389392547267,280.92,0.27238492687205873
16,282,154.576,43.72546040409638,281.02,1.0956284070914293
16,283,181.4,33.083472142933516,282.6,0.4918693768379647
16,284,190,36.536548206401626,283.92,0.27238492687205873
16,285,166.236,35.77928076033541,284.464,0.8459114995436822
16,286,175.736,48.45369322452907,285.56,0.6886171275731506
16,287,154.04,52.3954258037979,285.88,0.9554596934494158
16,288,171.592,40.376986085486784,287.30133333333333,1.0583881061520897
