N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,35,172.064,70.99801954362154,35,0
6,36,206.89,98.07241353506696,35.928,0.2587467870324175
6,37,187.4,75.46085529175193,36.846,0.3613102409015841
6,38,149.1312,64.5566889819149,37.6976,0.554478271752964
6,39,156.216,61.96012828687658,38.19733333333333,1.0333960075294935
6,40,198.436,85.54431144666215,39.568,0.7534232451586436
8,64,225.136,61.71674943878949,63.88,0.3262692337674912
8,65,324.632,157.04409366429132,64.824,0.38235264924817347
8,66,203.416,82.37392090291554,65.62666666666667,0.6893640666580229
8,67,192.092,65.01462403703766,66.678,0.5008169678340991
8,68,197.14933333333335,62.23234962994293,67.62933333333334,0.7004149521314779
8,69,205.328,87.8878014347022,68.4192,0.7618398781896364
8,70,152.368,45.08084780380331,68.904,0.7664749643450476
8,71,166.152,59.39426169741186,69.976,0.9198877911936307
8,73,178.736,54.54476468771966,72.416,0.8345754184208027
10,101,230.536,57.35564544590296,101,0
10,102,241.672,60.66496783631098,101.992,0.08944271909999159
10,104,223.70666666666668,79.8758350166547,103.73066666666666,0.5418263167988037
10,105,216.112,73.38080420452485,104.552,0.5938912588254157
10,106,210.344,81.15413506750113,105.636,0.8012941339836618
10,107,189.392,53.796044943963146,106.472,0.7358997126625164
10,108,224.9136,74.51472637105934,107.3728,1.1478363146059656
10,109,199.008,60.6526993256184,108.216,0.5620239921408475
10,110,220.128,83.33316703013709,109.20266666666667,1.0804501603589163
10,111,194.864,79.2993861587925,110.424,0.900394178912411
12,149,215.12,83.5373781512629,148.152,0.925063206210187
12,151,260.744,65.20883375739824,150.824,0.38235264924817347
12,152,267.656,86.21904426275489,151.50666666666666,0.787151728154906
12,153,247.352,65.25066505655387,152.808,0.4153506097651213
12,154,259.2,64.77908086156422,153.74,0.5880332750194673
12,155,245.388,69.89945056118124,154.38,0.8137868246561477
12,156,301.792,61.91569398214255,155.632,0.8085829899354198
12,157,259.5466666666667,69.45038111285022,156.23733333333334,0.9013912795557654
12,158,231.912,61.08562901607183,157.072,0.9953788808618874
12,159,231.74,71.88467169081588,157.812,1.5316788699471473
12,161,258.072,72.7285248206001,160.056,1.6718928812730836
12,162,234.2,56.44794918986814,160.936,0.9482071367552284
14,206,281.888,53.60943224663409,205.72,0.5622535302317492
14,207,284.064,83.10513589967366,206.816,0.6141345864894605
14,208,296.304,67.61933584889134,207.576,0.7752627026140985
14,209,227.228,71.19417432509015,207.976,0.8731975123546387
14,211,310.512,97.61707961689761,210.352,1.050958636781153
14,212,242.12,77.83777588574014,211.464,0.9881883064640352
14,214,309.088,72.97480961749525,213.632,0.6664300655418125
14,215,252.8,59.087165888124666,214.04,0.8679940406583871
14,216,301.028,65.33149341725256,215.76,0.5794333196214645
14,217,233.376,79.21088359765523,216.056,1.2143982263692727
14,219,249.808,80.11900746657886,217.412,1.8482206791167715
14,221,227.096,74.31172616190052,219.368,1.3532279211025808
14,222,290.892,121.0894004759728,221.228,0.956911027661108
16,269,271.824,60.270500996114016,268.648,0.612451446396813
16,274,310.72,84.8737772490192,273.456,1.027869704307048
16,275,280.032,58.026125373028755,274.712,0.4720579516091423
16,276,276.704,86.0635819878438,275.236,0.789173732914934
16,277,298.272,68.83024653965492,276.416,1.0331911105733256
16,278,295.36,62.11376139663987,277.272,0.5871747555441966
16,279,286.184,64.28281564381552,278.44,0.5143113152870138
16,281,314.28,71.18451716399409,280.512,0.9968984158944698
16,282,285.508,94.63853202037681,280.628,1.5055506404381405
16,283,314.672,55.68268046013775,282.288,0.6576595844601203
16,284,265.28,72.99730441333367,282.504,1.4570407482069552
16,285,276.18,79.776316301082,283.08,1.8327673460039366
16,286,304.784,76.57229179649609,285.504,0.7364255431781012
16,287,240.968,61.82323083572827,285.752,1.6784016974683136
16,288,267.6933333333333,81.22951791747363,287.1093333333333,1.2984125780415097
