N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,110,109.05,46.539711396205554,62.45,9.372271532782783
8,210,84.55,22.481512872861373,112.25,12.96503394762844
10,342,88.1,32.14097237581897,182.5,23.12096337457462
12,506,102.55,42.10197520057074,287.85,38.73835988159268
14,702,99.7,29.855970045677985,399.3,44.857786978757424
16,930,101.8,28.971129004398048,539.65,50.151638478770195
