N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
6,110,0,0,0.1,20.65,7.589986478040794,72.75,16.808127733175304
6,110,0,0,0.11,39,NA,105,NA
6,110,0,0,0.12,28.2,4.658325879540846,89.2,9.731392500562292
6,110,0,0,0.13,19.25,1.8322507626258087,72.5,7.3484692283495345
6,110,0,0,0.14,19,11.20267825120404,66.4,21.651789764358973
6,110,0,0,0.15,19,13,65.66666666666667,29.77135088190211
6,110,0,0,0.16,30,1.4142135623730951,92.5,2.1213203435596424
6,110,0,0,0.17,23.5,0.7071067811865476,80.5,9.192388155425117
6,110,0,0,0.18,25.75,8.845903006477066,82.75,15.840349322747484
6,110,0,0,0.19,21.4,7.05691150575094,77,15.033296378372908
6,110,0,0,0.2,24,9.899494936611665,81.5,17.67766952966369
6,110,0,0,0.21,22,9.899494936611665,75,22.627416997969522
6,110,0,0,0.22,13.666666666666666,0.5773502691896257,56,1.7320508075688772
6,110,0,0,0.23,19.666666666666668,6.658328118479393,69.33333333333333,20.404247923737188
6,110,0,0,0.24,24,14.106735979665885,76,27.622454633866266
6,110,0,0,0.25,21,0,76.5,9.192388155425117
6,110,0,0,0.26,26.5,10.606601717798213,91,12.727922061357855
6,110,0,0,0.27,21.25,6.5,74.25,14.244882121894399
6,110,0,0,0.28,23,8.48528137423857,80,15.556349186104045
6,110,0,0,0.3,14.333333333333334,0.5773502691896257,57.333333333333336,2.0816659994661326
6,110,0,0,0.31,13,NA,55,NA
6,110,0,0,0.32,18,8.48528137423857,67,28.284271247461902
6,110,0,0,0.33,23,NA,74,NA
6,110,0,0,0.34,16.5,7.7781745930520225,61.5,16.263455967290593
6,110,0,0,0.35,21,0,76.5,9.192388155425117
6,110,0,0,0.37,19,NA,82,NA
6,110,0,0,0.38,18,0,67.66666666666667,6.658328118479393
6,110,0,0,0.4,17,NA,69,NA
6,110,0,0,0.42,15,NA,59,NA
6,110,0,0,0.43,14,0,56.5,2.1213203435596424
6,110,0,0,0.45,13,NA,55,NA
6,110,0,0,0.46,12,NA,47,NA
6,110,0,0,0.48,11,NA,50,NA
6,110,0,0.3,0.1,20.65,7.589986478040794,72.75,16.808127733175304
6,110,0,0.3,0.11,39,NA,105,NA
6,110,0,0.3,0.12,28.2,4.658325879540846,89.2,9.731392500562292
6,110,0,0.3,0.13,19.25,1.8322507626258087,72.5,7.3484692283495345
6,110,0,0.3,0.14,19,11.20267825120404,66.4,21.651789764358973
6,110,0,0.3,0.15,19,13,65.66666666666667,29.77135088190211
6,110,0,0.3,0.16,30,1.4142135623730951,92.5,2.1213203435596424
6,110,0,0.3,0.17,23.5,0.7071067811865476,80.5,9.192388155425117
6,110,0,0.3,0.18,25.75,8.845903006477066,82.75,15.840349322747484
6,110,0,0.3,0.19,21.4,7.05691150575094,77,15.033296378372908
6,110,0,0.3,0.2,24,9.899494936611665,81.5,17.67766952966369
6,110,0,0.3,0.21,22,9.899494936611665,75,22.627416997969522
6,110,0,0.3,0.22,13.666666666666666,0.5773502691896257,56,1.7320508075688772
6,110,0,0.3,0.23,19.666666666666668,6.658328118479393,69.33333333333333,20.404247923737188
6,110,0,0.3,0.24,24,14.106735979665885,76,27.622454633866266
6,110,0,0.3,0.25,21,0,76.5,9.192388155425117
6,110,0,0.3,0.26,26.5,10.606601717798213,91,12.727922061357855
6,110,0,0.3,0.27,21.25,6.5,74.25,14.244882121894399
6,110,0,0.3,0.28,23,8.48528137423857,80,15.556349186104045
6,110,0,0.3,0.3,14.333333333333334,0.5773502691896257,57.333333333333336,2.0816659994661326
6,110,0,0.3,0.31,13,NA,55,NA
6,110,0,0.3,0.32,18,8.48528137423857,67,28.284271247461902
6,110,0,0.3,0.33,23,NA,74,NA
6,110,0,0.3,0.34,16.5,7.7781745930520225,61.5,16.263455967290593
6,110,0,0.3,0.35,21,0,76.5,9.192388155425117
6,110,0,0.3,0.37,19,NA,82,NA
6,110,0,0.3,0.38,18,0,67.66666666666667,6.658328118479393
6,110,0,0.3,0.4,17,NA,69,NA
6,110,0,0.3,0.42,15,NA,59,NA
6,110,0,0.3,0.43,14,0,56.5,2.1213203435596424
6,110,0,0.3,0.45,13,NA,55,NA
6,110,0,0.3,0.46,12,NA,47,NA
6,110,0,0.3,0.48,11,NA,50,NA
6,110,0,0.5,0.1,20.65,7.589986478040794,72.75,16.808127733175304
6,110,0,0.5,0.11,39,NA,105,NA
6,110,0,0.5,0.12,28.2,4.658325879540846,89.2,9.731392500562292
6,110,0,0.5,0.13,19.25,1.8322507626258087,72.5,7.3484692283495345
6,110,0,0.5,0.14,19,11.20267825120404,66.4,21.651789764358973
6,110,0,0.5,0.15,19,13,65.66666666666667,29.77135088190211
6,110,0,0.5,0.16,30,1.4142135623730951,92.5,2.1213203435596424
6,110,0,0.5,0.17,23.5,0.7071067811865476,80.5,9.192388155425117
6,110,0,0.5,0.18,25.75,8.845903006477066,82.75,15.840349322747484
