N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,110,33.0684,17.600512283824617,62.3372,13.227119067715865
8,210,32.5372,12.116242713605486,119.7776,21.684561935407693
10,342,33.8768,11.97820573896984,198.2708,34.31363049073913
12,506,35.182,10.061598794829937,300.7104,46.49501528571173
14,702,36.0088,10.78343338339945,422.2556,63.414556933344734
16,930,37.5656,10.782439475388497,571.834,86.19106916706431
