N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,110,50.4736,30.230733731498777,55.1484,8.478533579143333
8,210,56.9916,28.348040037886143,111.3672,15.721629432498563
10,342,57.2064,26.998165852956927,183.4268,23.462515585824253
12,506,58.1968,27.337831160591836,273.1708,37.10411720504109
14,702,60.2224,28.440205279683553,386.184,44.855578841224116
16,930,63.4164,32.43058599845648,522.5716,62.06385133148634
