N,TotEdge,t_mean_overall,t_sd_overall,edge_mean_overall,edge_sd_overall
6,110,32.0228,12.205780294148983,61.196,12.663527548514624
8,210,34.6732,13.177733599717747,123.0456,24.121613991286274
10,342,34.6504,13.825130506921568,198.84,37.26620329418044
12,506,35.7412,10.248172157659589,302.5292,48.546487534535146
14,702,37.3984,10.740550321491138,430.8096,65.94636090677588
16,930,37.3256,9.970202937686246,569.4768,84.67506249329432
