N,TotEdge,A,G,E,t_mean,t_sd,edge_mean,edge_sd
8,210,0.5,0.3,0.1,89.95,59.47708537084283,106.6,17.545129778584382
8,210,0.5,0.3,0.3,58.65,24.208034768820475,104.85,16.180804091658473
8,210,0.5,0.3,0.5,62.15,32.244583388450486,110.3,13.894716905886813
8,210,0.5,0.3,0.7,51.05,18.10052340039981,113.2,16.516658257650064
8,210,0.5,0.3,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.5,0.5,0.1,64.2,22.263021027325962,99.85,9.172470252135778
8,210,0.5,0.5,0.3,65.9,32.20967491134825,108.25,18.752894513423225
8,210,0.5,0.5,0.5,60,21.45742418445371,111.2,14.095912061378124
8,210,0.5,0.5,0.7,49.95,15.958746158372481,112.7,15.838327928760263
8,210,0.5,0.5,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.5,0.7,0.1,79.7,51.536497031868485,103,14.70409896307113
8,210,0.5,0.7,0.3,69,41.09168183208706,107.5,18.454781152005598
8,210,0.5,0.7,0.5,70,36.913839937716695,114.65,16.51243550527267
8,210,0.5,0.7,0.7,51.05,16.82565397180589,113.65,16.658410235642158
8,210,0.5,0.7,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.5,1,0.1,60.4,22.06545287380968,96.85,8.151686941977102
8,210,0.5,1,0.3,61.5,26.713883636554392,106,16.482845947418056
8,210,0.5,1,0.5,63.75,26.179290730611758,113.2,14.620101518835382
8,210,0.5,1,0.7,51.55,16.900560563733414,113.95,16.356151265212922
8,210,0.5,1,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.7,0,0.1,47.4,15.662224080822453,103.25,16.392793667051578
8,210,0.7,0,0.3,55.85,25.778969396736844,110.85,15.665164168340294
8,210,0.7,0,0.5,51.5,15.79306976593148,110.3,15.005612984901068
8,210,0.7,0,0.7,50.05,27.009696114738617,109.65,18.87430723719974
8,210,0.7,0,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.7,0.3,0.1,88.35,64.40110737851444,106.3,17.103708431368418
8,210,0.7,0.3,0.3,58.8,24.915858403835898,104.7,15.607353192780977
8,210,0.7,0.3,0.5,63.85,24.908833774386146,114.15,15.235951251113788
8,210,0.7,0.3,0.7,51.4,17.288268002501457,113.4,16.158426187042636
8,210,0.7,0.3,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.7,0.5,0.1,80.9,35.873901963757206,105.45,13.597503640858417
8,210,0.7,0.5,0.3,56.6,22.46260049621663,104.4,14.791178025039827
8,210,0.7,0.5,0.5,59.75,21.125875877202045,112.15,14.708661966409633
8,210,0.7,0.5,0.7,51.7,18.29034833198272,113.75,17.032090454878343
8,210,0.7,0.5,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.7,0.7,0.1,72.4,43.94062980168151,101.1,13.626213128031072
8,210,0.7,0.7,0.3,55.9,25.393534195683916,103.5,16.598985384338217
8,210,0.7,0.7,0.5,62.8,25.76125201272558,112.85,13.857450969367385
8,210,0.7,0.7,0.7,51.3,17.20189708020295,113.3,16.51187770252547
8,210,0.7,0.7,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.7,1,0.1,84.55,84.77864366131739,101.65,15.560662277882512
8,210,0.7,1,0.3,60.5,23.736492003486507,107.6,15.22947281114035
8,210,0.7,1,0.5,63.75,38.48427566791677,112.55,14.865980237476863
8,210,0.7,1,0.7,52.4,19.784097814047257,112.65,17.30006084564901
8,210,0.7,1,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,1,0,0.1,47.55,14.091710889365906,107.35,15.958086549326316
8,210,1,0,0.3,51.95,14.594429362638769,115.4,13.884485851785117
8,210,1,0,0.5,57.25,28.580219512250444,118.15,16.063279471154733
8,210,1,0,0.7,44.8,15.17477130669607,107.45,15.829602515207817
8,210,1,0,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,1,0.3,0.1,58.85,19.015990501071517,109.85,10.732513317264655
8,210,1,0.3,0.3,63.6,22.486019048101397,115.2,14.133200926225193
8,210,1,0.3,0.5,51.15,14.626130185750648,109.7,12.48620291193022
8,210,1,0.3,0.7,51.35,24.72432213960896,111.85,17.81564953688337
8,210,1,0.3,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,1,0.5,0.1,61.9,21.57215554219935,110.9,11.942405646752205
8,210,1,0.5,0.3,58.95,20.737646925338467,111.9,14.352333388136248
8,210,1,0.5,0.5,50.7,16.296916078946058,109.2,12.116104984688768
8,210,1,0.5,0.7,51.5,22.469862857661266,112.1,17.672160681645433
8,210,1,0.5,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,1,0.7,0.1,58.7,17.293442627040367,109.65,10.358190250384373
8,210,1,0.7,0.3,59.25,24.780881849989882,111.55,17.043211335648543
8,210,1,0.7,0.5,53.3,20.079054286809217,110.7,13.322320012907504
8,210,1,0.7,0.7,50.65,23.58026605804992,111.25,17.274486815440916
8,210,1,0.7,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,1,1,0.1,68.6,57.07096229118714,108.65,17.085774322825593
8,210,1,1,0.3,53.55,19.324037390065037,107.15,12.136395892651075
8,210,1,1,0.5,62.15,27.616309063953306,115.7,17.70548532309453
8,210,1,1,0.7,59.7,22.471268204906508,119.35,17.269611277739013
8,210,1,1,1,52.95,17.258026355415343,116.8,15.750020885533353
10,342,0,0,0.1,51.55,16.099934619023834,190.35,22.434172711806376
10,342,0,0,0.3,52.65,18.451287217969373,191.65,26.244347762397986
10,342,0,0,0.5,51.4,15.935395887936489,192.75,27.051364397927763
10,342,0,0,0.7,52.85,12.75796964542886,194.1,21.520858914575243
10,342,0,0,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0,0.3,0.1,51.55,16.099934619023834,190.35,22.434172711806376
10,342,0,0.3,0.3,52.65,18.451287217969373,191.65,26.244347762397986
10,342,0,0.3,0.5,51.4,15.935395887936489,192.75,27.051364397927763
10,342,0,0.3,0.7,52.85,12.75796964542886,194.1,21.520858914575243
10,342,0,0.3,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0,0.5,0.1,51.55,16.099934619023834,190.35,22.434172711806376
10,342,0,0.5,0.3,52.65,18.451287217969373,191.65,26.244347762397986
10,342,0,0.5,0.5,51.4,15.935395887936489,192.75,27.051364397927763
10,342,0,0.5,0.7,52.85,12.75796964542886,194.1,21.520858914575243
10,342,0,0.5,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0,0.7,0.1,51.55,16.099934619023834,190.35,22.434172711806376
10,342,0,0.7,0.3,52.65,18.451287217969373,191.65,26.244347762397986
10,342,0,0.7,0.5,51.4,15.935395887936489,192.75,27.051364397927763
10,342,0,0.7,0.7,52.85,12.75796964542886,194.1,21.520858914575243
10,342,0,0.7,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0,1,0.1,51.55,16.099934619023834,190.35,22.434172711806376
10,342,0,1,0.3,52.65,18.451287217969373,191.65,26.244347762397986
10,342,0,1,0.5,51.4,15.935395887936489,192.75,27.051364397927763
10,342,0,1,0.7,52.85,12.75796964542886,194.1,21.520858914575243
10,342,0,1,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.3,0,0.1,57.6,17.4970674234585,182.45,20.153294101905395
10,342,0.3,0,0.3,53.3,21.6991389593907,178.25,27.322392975263657
10,342,0.3,0,0.5,50.95,14.117831203649406,182.1,21.70107928434121
10,342,0.3,0,0.7,54.05,16.194459741398894,189.3,23.131432249100722
10,342,0.3,0,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.3,0.3,0.1,87.1,40.09843152202235,172.85,21.902355076446387
10,342,0.3,0.3,0.3,64.9,18.59230174589812,178.6,15.822701878530168
10,342,0.3,0.3,0.5,53.35,21.386850362338365,174.7,25.80717974354791
10,342,0.3,0.3,0.7,51.9,21.165761826218553,181.3,25.53037406698147
10,342,0.3,0.3,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.3,0.5,0.1,84.55,39.08085410907414,171.5,19.988154386773026
10,342,0.3,0.5,0.3,63.8,26.090127190991332,176.25,17.99963449921312
10,342,0.3,0.5,0.5,57.4,36.83162256882843,174.6,27.650830386312663
10,342,0.3,0.5,0.7,51.9,21.165761826218553,181.35,25.56781488306611
10,342,0.3,0.5,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.3,0.7,0.1,98.6,52.23570063713735,176,23.54167637012686
10,342,0.3,0.7,0.3,63.8,23.67899357747506,178.2,18.850101214303166
10,342,0.3,0.7,0.5,49.3,13.883348602590537,171.35,21.48506213016016
10,342,0.3,0.7,0.7,51.9,21.165761826218553,181.35,25.584277655581655
10,342,0.3,0.7,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.3,1,0.1,92.25,40.508446162822835,173.3,19.857651316041224
10,342,0.3,1,0.3,64.6,25.10273627358286,177.8,19.980516825937684
10,342,0.3,1,0.5,48.75,14.47638730739421,170.7,23.140531768442916
10,342,0.3,1,0.7,51.55,20.757940776077906,181.25,25.27923008487819
10,342,0.3,1,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.5,0,0.1,57.6,17.4970674234585,182.45,20.153294101905395
10,342,0.5,0,0.3,53.3,21.6991389593907,178.25,27.322392975263657
10,342,0.5,0,0.5,50.95,14.117831203649406,182.1,21.70107928434121
10,342,0.5,0,0.7,54.05,16.194459741398894,189.3,23.131432249100722
10,342,0.5,0,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.5,0.3,0.1,95.4,50.174852161951456,177.85,23.928127029876258
10,342,0.5,0.3,0.3,70.55,21.112418395965815,185.05,18.471813520519365
10,342,0.5,0.3,0.5,51.95,17.464173854524372,174.3,24.99915788055354
10,342,0.5,0.3,0.7,56.6,32.97431217111124,184.9,30.024376061705876
10,342,0.5,0.3,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.5,0.5,0.1,97.25,68.4204301591118,176.05,26.527989191160263
10,342,0.5,0.5,0.3,70.1,21.633064361856146,185.25,18.133641315754016
10,342,0.5,0.5,0.5,57,26.815156750967304,177.15,30.199817008856545
10,342,0.5,0.5,0.7,55.9,28.45661517764228,185.8,29.03283078099507
10,342,0.5,0.5,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.5,0.7,0.1,86.75,47.04742847718448,170.95,22.834588261070785
10,342,0.5,0.7,0.3,69.35,24.279675277460928,181.6,20.957099035887577
10,342,0.5,0.7,0.5,51.9,19.15009962870882,174.05,25.889390226805062
10,342,0.5,0.7,0.7,57,32.94812509640603,186.15,29.935500839744034
10,342,0.5,0.7,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.5,1,0.1,94.9,67.19484629360389,171.5,24.63736998950984
10,342,0.5,1,0.3,71.5,38.742741255621034,180.75,23.648467180770936
10,342,0.5,1,0.5,69.4,44.39227054578901,183.95,36.50158612271095
10,342,0.5,1,0.7,52,19.928820706124135,183.3,25.805140246817004
10,342,0.5,1,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.7,0,0.1,57.6,17.4970674234585,182.45,20.153294101905395
10,342,0.7,0,0.3,53.3,21.6991389593907,178.25,27.322392975263657
10,342,0.7,0,0.5,50.95,14.117831203649406,182.1,21.70107928434121
10,342,0.7,0,0.7,54.05,16.194459741398894,189.3,23.131432249100722
10,342,0.7,0,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.7,0.3,0.1,84.25,39.53662525863968,175.15,21.465455724807807
10,342,0.7,0.3,0.3,64.35,22.295326392483435,178,21.89929102433275
10,342,0.7,0.3,0.5,60.65,28.700403444807822,182.1,33.162915242306745
10,342,0.7,0.3,0.7,54.9,23.70187645247568,186,28.545439307587436
10,342,0.7,0.3,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.7,0.5,0.1,75.4,40.26151355431401,169.25,20.60116246081376
10,342,0.7,0.5,0.3,63.4,19.516255033338638,180.95,21.804091841960112
10,342,0.7,0.5,0.5,59.65,31.48980620354533,180.15,32.13831129091227
10,342,0.7,0.5,0.7,57.35,26.200190838999628,188.2,30.238699498629586
10,342,0.7,0.5,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.7,0.7,0.1,84.95,41.73156699922166,174.25,22.932108035402425
10,342,0.7,0.7,0.3,66.75,19.851753203764094,182,20.670344890560894
10,342,0.7,0.7,0.5,58.55,27.448468464608943,180,30.48209137734552
10,342,0.7,0.7,0.7,55.15,24.214556300748217,186.25,28.06547795124072
10,342,0.7,0.7,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,0.7,1,0.1,99.9,85.08936478785112,171.95,25.85887814556866
10,342,0.7,1,0.3,57.85,12.066809633736753,172.9,17.873532328410544
10,342,0.7,1,0.5,59.95,31.5535885022357,178.15,31.074232005583696
10,342,0.7,1,0.7,55.25,21.486531889338934,187.15,26.254373069322334
10,342,0.7,1,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,1,0,0.1,50.3,12.917144869472796,186.1,22.780185295674467
10,342,1,0,0.3,50.9,14.337657446480982,183.7,24.033091221984126
10,342,1,0,0.5,45.9,16.098054802399346,178.55,24.61594476842409
10,342,1,0,0.7,55.55,16.693758682434833,193.55,24.437837358015994
10,342,1,0,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,1,0.3,0.1,59.3,22.5740885460346,175.95,23.047947733732002
10,342,1,0.3,0.3,53.55,13.6052427975008,178.2,21.303817300637633
10,342,1,0.3,0.5,57.05,17.77779513888041,185.55,21.714596109772025
10,342,1,0.3,0.7,53.7,18.93228932135172,185.5,27.49449705706676
10,342,1,0.3,1,46.5,10.128126547808389,187.25,17.035180316658014
10,342,1,0.5,0.1,56.7,17.985666807942255,174.9,20.710790475142737
10,342,1,0.5,0.3,61.65,24.632616374914058,183.1,26.694963057318116
10,342,1,0.5,0.5,53.05,16.03113746497898,182.65,20.91907968187994
10,342,1,0.5,0.7,53.45,17.058644976112628,186.1,24.137544461514285
10,342,1,0.5,1,46.5,10.128126547808389,187.25,17.035180316658014
